B19013_001E,state,county,tract,block group
66233,17,031,310600,3
60278,17,031,310700,1
-666666666,17,031,310800,1
36736,17,031,310800,2
75313,17,031,310800,3
101435,17,031,310900,1
61520,17,031,310900,2
58844,17,031,310900,3
125727,17,031,320101,1
-666666666,17,031,320101,2
133997,17,031,320101,3
108558,17,031,320101,4
163383,17,031,320102,1
237283,17,031,320102,2
155189,17,031,320400,1
114621,17,031,320600,1
107813,17,031,320600,2
162209,17,031,330101,1
-666666666,17,031,330101,2
107281,17,031,330102,1
-666666666,17,031,330102,2
105189,17,031,330102,3
-666666666,17,031,330102,4
117388,17,031,330103,1
137615,17,031,330103,2
82955,17,031,330103,3
17202,17,031,330200,1
168295,17,031,330200,2
35761,17,031,340300,1
46827,17,031,340400,1
35060,17,031,340500,1
13897,17,031,340600,1
53929,17,031,350100,1
57406,17,031,350100,2
18368,17,031,350400,1
87366,17,031,351000,1
36023,17,031,351000,2
52165,17,031,351000,3
-666666666,17,031,351100,1
14463,17,031,351100,2
15865,17,031,351400,1
-666666666,17,031,351500,1
56250,17,031,351500,2
25305,17,031,360200,1
23417,17,031,380100,1
22629,17,031,380200,1
66058,17,031,380600,1
36607,17,031,380600,2
-666666666,17,031,380600,3
22614,17,031,380600,4
40168,17,031,381200,1
38083,17,031,381200,2
38007,17,031,381400,1
21230,17,031,381500,1
-666666666,17,031,381700,1
85625,17,031,381800,1
35022,17,031,381800,2
52750,17,031,381900,1
56146,17,031,381900,2
56023,17,031,390100,1
82667,17,031,390200,1
105938,17,031,390200,2
13647,17,031,390300,1
39190,17,031,390300,2
-666666666,17,031,390400,1
21974,17,031,390400,2
49784,17,031,390500,1
54375,17,031,390600,1
80714,17,031,390600,2
97407,17,031,390700,1
77738,17,031,390700,2
52250,17,031,390700,3
41875,17,031,400300,1
-666666666,17,031,400400,1
50245,17,031,400400,2
-666666666,17,031,400500,1
21173,17,031,400500,2
21042,17,031,400800,1
9320,17,031,400800,2
40708,17,031,410100,1
